method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
OCR + Presidio receipt de-identification,41,valid,14,17,3,14,11,87.1,0.415,35,803.4
OCR + spaCy receipt de-identification,41,valid,14,21,7,14,7,55.1,0.449,35,803.4
Proposed multimodal mediation,41,valid,14,23,9,14,5,40.1,0.477,35,803.4
Raw OCR text prompt,42,valid,5,0,0,0,5,100.0,1.000,16,278.5
OCR + regex masking,42,valid,5,9,1,8,4,88.9,0.467,16,278.5
OCR + generic de-identification,42,valid,5,9,1,8,4,88.9,0.467,16,278.5
OCR + Presidio receipt de-identification,42,valid,5,13,4,9,1,16.7,0.378,16,278.5
OCR + spaCy receipt de-identification,42,valid,5,14,4,10,1,16.7,0.278,16,278.5
Proposed multimodal mediation,42,valid,5,13,5,8,0,0.0,0.467,16,278.5
Raw OCR text prompt,43,valid,2,0,0,0,2,100.0,1.000,13,328.4
OCR + regex masking,43,valid,2,7,0,7,2,100.0,0.500,13,328.4
OCR + generic de-identification,43,valid,2,8,1,7,1,60.0,0.500,13,328.4
OCR + Presidio receipt de-identification,43,valid,2,7,0,7,2,100.0,0.500,13,328.4
OCR + spaCy receipt de-identification,43,valid,2,12,1,11,1,60.0,0.158,13,328.4
Proposed multimodal mediation,43,valid,2,9,1,8,1,60.0,0.408,13,328.4
Raw OCR text prompt,44,valid,1,0,0,0,1,100.0,1.000,10,2172.2
OCR + regex masking,44,valid,1,1,0,1,1,100.0,0.923,10,2172.2
OCR + generic de-identification,44,valid,1,1,0,1,1,100.0,0.923,10,2172.2
OCR + Presidio receipt de-identification,44,valid,1,3,0,3,1,100.0,0.705,10,2172.2
OCR + spaCy receipt de-identification,44,valid,1,6,0,6,1,100.0,0.436,10,2172.2
Proposed multimodal mediation,44,valid,1,1,0,1,1,100.0,0.923,10,2172.2
Raw OCR text prompt,45,valid,4,0,0,0,4,100.0,1.000,15,341.7
OCR + regex masking,45,valid,4,7,0,7,4,100.0,0.463,15,341.7
OCR + generic de-identification,45,valid,4,7,0,7,4,100.0,0.463,15,341.7
OCR + Presidio receipt de-identification,45,valid,4,9,1,8,3,74.1,0.400,15,341.7
OCR + spaCy receipt de-identification,45,valid,4,15,4,11,0,0.0,0.175,15,341.7
Proposed multimodal mediation,45,valid,4,11,3,8,1,25.9,0.425,15,341.7
Raw OCR text prompt,46,valid,1,0,0,0,1,100.0,1.000,8,226.7
OCR + regex masking,46,valid,1,4,0,4,1,100.0,0.478,8,226.7
OCR + generic de-identification,46,valid,1,5,1,4,0,0.0,0.478,8,226.7
OCR + Presidio receipt de-identification,46,valid,1,5,1,4,0,0.0,0.478,8,226.7
OCR + spaCy receipt de-identification,46,valid,1,7,1,6,0,0.0,0.283,8,226.7
Proposed multimodal mediation,46,valid,1,5,1,4,0,0.0,0.478,8,226.7
Raw OCR text prompt,47,valid,2,0,0,0,2,100.0,1.000,9,314.9
OCR + regex masking,47,valid,2,3,0,3,2,100.0,0.719,9,314.9
OCR + generic de-identification,47,valid,2,3,0,3,2,100.0,0.719,9,314.9
OCR + Presidio receipt de-identification,47,valid,2,3,0,3,2,100.0,0.719,9,314.9
OCR + spaCy receipt de-identification,47,valid,2,4,0,4,2,100.0,0.609,9,314.9
Proposed multimodal mediation,47,valid,2,4,0,4,2,100.0,0.609,9,314.9
Raw OCR text prompt,48,valid,3,0,0,0,3,100.0,1.000,17,310.7
OCR + regex masking,48,valid,3,8,1,7,2,80.8,0.608,17,310.7
OCR + generic de-identification,48,valid,3,8,1,7,2,80.8,0.608,17,310.7
OCR + Presidio receipt de-identification,48,valid,3,9,1,8,2,80.8,0.520,17,310.7
OCR + spaCy receipt de-identification,48,valid,3,17,3,14,0,0.0,0.157,17,310.7
Proposed multimodal mediation,48,valid,3,12,3,9,0,0.0,0.451,17,310.7
Raw OCR text prompt,49,valid,2,0,0,0,2,100.0,1.000,12,397.3
OCR + regex masking,49,valid,2,2,0,2,2,100.0,0.831,12,397.3
OCR + generic de-identification,49,valid,2,2,0,2,2,100.0,0.831,12,397.3
OCR + Presidio receipt de-identification,49,valid,2,3,1,2,1,25.0,0.831,12,397.3
OCR + spaCy receipt de-identification,49,valid,2,11,1,10,1,25.0,0.155,12,397.3
Proposed multimodal mediation,49,valid,2,4,0,4,2,100.0,0.606,12,397.3
Raw OCR text prompt,50,valid,1,0,0,0,1,100.0,1.000,7,222.9
OCR + regex masking,50,valid,1,3,0,3,1,100.0,0.538,7,222.9
OCR + generic de-identification,50,valid,1,3,0,3,1,100.0,0.538,7,222.9
OCR + Presidio receipt de-identification,50,valid,1,3,0,3,1,100.0,0.538,7,222.9
OCR + spaCy receipt de-identification,50,valid,1,6,1,5,0,0.0,0.308,7,222.9
Proposed multimodal mediation,50,valid,1,4,1,3,0,0.0,0.538,7,222.9
Raw OCR text prompt,51,valid,4,0,0,0,4,100.0,1.000,10,315.3
