method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Proposed multimodal mediation,45,test,21,34,15,19,6,47.8,0.538,74,4274.6
Raw OCR text prompt,46,test,16,0,0,0,16,100.0,1.000,57,3517.0
OCR + regex masking,46,test,16,2,1,1,15,98.2,0.992,57,3517.0
OCR + generic de-identification,46,test,16,25,8,17,8,48.8,0.653,57,3517.0
OCR + Presidio form de-identification,46,test,16,28,8,20,8,45.8,0.630,57,3517.0
OCR + spaCy form de-identification,46,test,16,35,10,25,6,44.2,0.475,57,3517.0
Proposed multimodal mediation,46,test,16,28,9,19,7,45.4,0.638,57,3517.0
Raw OCR text prompt,47,test,27,0,0,0,27,100.0,1.000,74,2397.7
OCR + regex masking,47,test,27,7,6,1,21,91.9,0.994,74,2397.7
OCR + generic de-identification,47,test,27,50,22,28,5,37.3,0.554,74,2397.7
OCR + Presidio form de-identification,47,test,27,55,25,30,2,23.6,0.461,74,2397.7
OCR + spaCy form de-identification,47,test,27,61,25,36,2,23.6,0.291,74,2397.7
Proposed multimodal mediation,47,test,27,52,23,29,4,35.0,0.542,74,2397.7
Raw OCR text prompt,48,test,24,0,0,0,24,100.0,1.000,77,2532.1
OCR + regex masking,48,test,24,5,3,2,21,95.0,0.984,77,2532.1
OCR + generic de-identification,48,test,24,37,14,23,10,42.1,0.717,77,2532.1
OCR + Presidio form de-identification,48,test,24,44,17,27,7,30.7,0.652,77,2532.1
OCR + spaCy form de-identification,48,test,24,50,17,33,7,30.7,0.490,77,2532.1
Proposed multimodal mediation,48,test,24,41,15,26,9,41.2,0.649,77,2532.1
Raw OCR text prompt,49,test,12,0,0,0,12,100.0,1.000,62,2881.1
OCR + regex masking,49,test,12,2,1,1,11,95.0,0.995,62,2881.1
OCR + generic de-identification,49,test,12,36,9,27,3,33.6,0.502,62,2881.1
OCR + Presidio form de-identification,49,test,12,42,11,31,1,5.0,0.357,62,2881.1
OCR + spaCy form de-identification,49,test,12,44,11,33,1,7.1,0.270,62,2881.1
Proposed multimodal mediation,49,test,12,36,9,27,3,33.6,0.502,62,2881.1
